ConvID_qtmentions,text,ratings
397_1,@163606 It is a nice movie. What say? ,"[(5040, 1), (2786, 1), (3725, 1), (1494, 1), (3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
397_2,@163606 It is a nice movie. What say? @90950 Was a marvelous 3D experience personally for me I really liked that movie but haven't seen it in a while. Are you a Michelle Rodriquez fan? ,"[(2786, 1), (3725, 1), (1494, 1), (3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
397_3,@163606 It is a nice movie. What say? @90950 Was a marvelous 3D experience personally for me I really liked that movie but haven't seen it in a while. Are you a Michelle Rodriquez fan? No. I am not. I like sci-fi movies. Have you watched @155969 ,"[(1494, 1), (3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
397_5,@163606 It is a nice movie. What say? @90950 Was a marvelous 3D experience personally for me I really liked that movie but haven't seen it in a while. Are you a Michelle Rodriquez fan? No. I am not. I like sci-fi movies. Have you watched @155969 My another favorite sci-fi movies are @79320 and @84001 ,"[(3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
397_6,@163606 It is a nice movie. What say? @90950 Was a marvelous 3D experience personally for me I really liked that movie but haven't seen it in a while. Are you a Michelle Rodriquez fan? No. I am not. I like sci-fi movies. Have you watched @155969 My another favorite sci-fi movies are @79320 and @84001 No I have not seen that one but have seen all the @204292 movies. Do you like those ,"[(3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
397_7,"@163606 It is a nice movie. What say? @90950 Was a marvelous 3D experience personally for me I really liked that movie but haven't seen it in a while. Are you a Michelle Rodriquez fan? No. I am not. I like sci-fi movies. Have you watched @155969 My another favorite sci-fi movies are @79320 and @84001 No I have not seen that one but have seen all the @204292 movies. Do you like those Yes, I love @204292 series ","[(3352, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
465_0,HI Hi could you help me find a good movie to watch ,"[(1006, 1), (6483, 0), (4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
465_1,HI Hi could you help me find a good movie to watch CAN YOU HELP ME FIND SOME GOOD MOVIES LIKE @170119 I THINK YOU ARE SUPPOSED TO RECOMMEND TO ME THIS ONE I LIKE SUSPENSE AND THRILLER ,"[(6483, 0), (4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
465_2,HI Hi could you help me find a good movie to watch CAN YOU HELP ME FIND SOME GOOD MOVIES LIKE @170119 I THINK YOU ARE SUPPOSED TO RECOMMEND TO ME THIS ONE I LIKE SUSPENSE AND THRILLER @169012 with Bruce Willis and Samuel Jackson is pretty good ,"[(4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
467_0,Hi could you help me find a good movie HI ID LIKE TO HELP YOU FIND A MOVIE YES WHAT KIND DO YOU LIKE ,"[(1494, 1), (1577, 0), (4823, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
