ConvID,text,ratings
391,"Hi there, how are you? I'm looking for movie recommendations I am doing okay. What kind of movies do you like? ","[(-2, 0), (4819, 1), (354, 1), (4090, 1), (1314, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
391,"Hi there, how are you? I'm looking for movie recommendations I am doing okay. What kind of movies do you like? I like animations like @84779 and @191602 ","[(-2, 2), (354, 1), (4090, 1), (1314, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
391,"Hi there, how are you? I'm looking for movie recommendations I am doing okay. What kind of movies do you like? I like animations like @84779 and @191602 I also enjoy @122159 Anything artistic ","[(-2, 3), (4090, 1), (1314, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
391,"Hi there, how are you? I'm looking for movie recommendations I am doing okay. What kind of movies do you like? I like animations like @84779 and @191602 I also enjoy @122159 Anything artistic You might like @165710 that was a good movie. What's it about? It has Alec Baldwin it is about a baby that works for a company and gets adopted it is very funny That seems like a nice comedy ","[(-2, 4), (1314, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. ","[(-2, 1), (1494, 1), (2441, 1), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. ","[(-2, 2), (2441, 1), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. You like Sci Fi stuff like @204292 ? ","[(-2, 3), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. You like Sci Fi stuff like @204292 ? I am more of a @143189 kind of person. ","[(-2, 4), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. You like Sci Fi stuff like @204292 ? I am more of a @143189 kind of person. Did you see any of the Star Wars parody movies? @143189 was pretty funny? I do not think I have seen that one. Who is in it? ","[(-2, 5), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. You like Sci Fi stuff like @204292 ? I am more of a @143189 kind of person. Did you see any of the Star Wars parody movies? @143189 was pretty funny? I do not think I have seen that one. Who is in it? Have you seen any cartoon movies like @204322 ? ","[(-2, 6), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
395,"Hi, did you see @196336 ? Yes it was a pretty good movie. Then you would like @114851 if you haven't seen it. You like Sci Fi stuff like @204292 ? I am more of a @143189 kind of person. Did you see any of the Star Wars parody movies? @143189 was pretty funny? I do not think I have seen that one. Who is in it? Have you seen any cartoon movies like @204322 ? Yes those are really funny. I think I will watch @143189 Thanks for the recommendation. ","[(-2, 7), (1501, 1), (6169, 1), (2922, 0), (4265, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
